감,단맛 혈관 활성산소
밤,소화 위 변비
김,무기질 뼈
미나리,섬유질 간 
토마토,함암 유기산 설탕
참외,설탕 수분 항암
딸기,항산화 항염 미네랄
미역,배출 혈액 뼈
석류,노화 독소 심장
귤,혈관 감지 변비
고구마,항산화 회복 
배,해열 가래 소화
마늘,향균 항염 면역
포도,피로 빈혈 변비
사과,혈액 피로 해독
깻입,항암 발암 빈혈
유자,감기 항암 회복
수박,당뇨 혈액 염증
천도 복숭아,신경 스트레스 숙면
살구,염증 노화 혈액
모과,폐 기관지 위장
앵두,노폐물 피로 혈관
된장,혈액 고혈압 혈전
김치,정장 항암 빈혈
우엉,중금속 뼈 병
연근,변비 면역력 위
오징어,"피로, 콜레스테롤, 혈관질환"
상추,"불면증, 변비, 혈액"
콩나물,"대사, 항염, 숙취해소"
무,"소화촉진, 숙취해소, 신장질환"
옥수수,심혈관 변비 독소
감자,항암 당뇨병 고혈압
쑥,"혈압, 순환개선, 노화예방 "
어묵,근육 성인병 뼈
검은콩,항암 시력 신장
풋고추,함염 치매 위염
새싹쌈,"혈액, 신진대사, 피로개선"
참기름,"콜레스테롤, 노화방지, 숙취"
간장,근육 혈관 신장
고추장,항암 시력 혈액
