감정,에너지,회복,순환,정화
명상,0.4855617582798004,0.40944957733154297,0.4279337674379349,0.39012061059474945
산책,0.3772760182619095,0.6252224743366241,0.501750260591507,0.7557567059993744
등산,0.4115530550479889,0.38989537954330444,0.5184006690979004,0.4027409255504608
샤워,0.26886094361543655,0.2548903301358223,0.37738582491874695,0.33547696471214294
수영,0.46068380773067474,0.6677010804414749,0.47872915863990784,0.31313444674015045
조깅,0.3300853818655014,0.381864070892334,0.47550973296165466,0.28997114300727844
자전거 타기,0.4115530550479889,0.2701107785105705,0.46150460839271545,0.1883792281150818
요가,0.33138707280158997,0.3659587800502777,0.4929013252258301,0.4213559627532959
스트레칭,0.32515060901641846,0.4488336443901062,0.5218651592731476,0.5186566412448883
여행,0.3921938091516495,0.31668412685394287,0.27669136226177216,0.37731461226940155
